ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGID	COGIDS	ALIGNMENT	AUTOCOGID
4836	ShipiboKonibo	food	piti	piti	p i t i	None	267		['p', 'i', 't', 'i', '(', '-', '-', '-', ')']	140
4837	Kapanawa	food	piti	piti	p i t i	None	267		['p', 'i', 't', 'i', '(', '-', '-', '-', ')']	140
4838	Marubo	food	ˈpītĭ	ˈpītĭ	p !ī/i t !ĭ/i	None	267		['p', '!ī/i', 't', '!ĭ/i', '(', '-', '-', '-', ')']	140
4839	Chakobo	food	pití	pití	p i t !í/i	None	267		['p', 'i', 't', '!í/i', '(', '-', '-', '-', ')']	140
4840	Yaminawa	food	pitiɸo	pitiɸo	p i t i ɸ o	None	267		['p', 'i', 't', 'i', '(', 'ɸ', 'o', '-', ')']	140
4841	Chaninawa	food	piti	piti	p i t i	None	267		['p', 'i', 't', 'i', '(', '-', '-', '-', ')']	140
4842	Sharanawa	food	piti	piti	p i t i	None	267		['p', 'i', 't', 'i', '(', '-', '-', '-', ')']	140
4843	Sharanawa	food	pitin	pitin	p i t i n	None	267		['p', 'i', 't', 'i', '(', '-', '-', 'n', ')']	140
4844	Shanenawa	food	piti	piti	p i t i	None	267		['p', 'i', 't', 'i', '(', '-', '-', '-', ')']	140
4845	Katukina	food	piti	piti	p i t i	None	267		['p', 'i', 't', 'i', '(', '-', '-', '-', ')']	140
4847	Kaxinawa	food	piti	piti	p i t i	None	267		['p', 'i', 't', 'i', '(', '-', '-', '-', ')']	140
4848	Marinawa	food	pití	pití	p i t !í/i	None	267		['p', 'i', 't', '!í/i', '(', '-', '-', '-', ')']	140
4849	Yawanawa	food	piti	piti	p i t i	None	267		['p', 'i', 't', 'i', '(', '-', '-', '-', ')']	140
4850	Matis	food	pete	pete	p e t e	None	267		['p', 'e', 't', 'e', '(', '-', '-', '-', ')']	140
4851	Mayoruna	food	pete	pete	p e t e	None	267		['p', 'e', 't', 'e', '(', '-', '-', '-', ')']	140
5962	Sharanawa	food	ʂɨtan	ʂɨtan	ʂ ɨ t a n	None	353		['ʂ', 'ɨ', 't', 'a', '(', 'n', ')']	140
6277	Proto-Panoan	foot	taʔɨ	taʔɨ	t a ʔ ɨ	None	377		['t', 'a', 'ʔ', 'ɨ', '(', '-', ')']	141
6278	Kakataibo	foot	taɨ	taɨ	t a ɨ	None	377		['t', 'a', '-', 'ɨ', '(', '-', ')']	141
6279	Kakataibo	foot	taɨ_napaʂ	taɨ_napaʂ	t a ɨ n a p a ʂ	(ver Cul abajo	703		['t', 'a', '-', 'ɨ', '(', '+', 'n', 'a', 'p', 'a', 'ʂ', ')']	141
6280	ShipiboKonibo	foot	taɨ	taɨ	t a ɨ	None	377		['t', 'a', '-', 'ɨ', '(', '-', ')']	141
6281	Kapanawa	foot	taʔɨ	taʔɨ	t a ʔ ɨ	None	377		['t', 'a', 'ʔ', 'ɨ', '(', '-', ')']	141
6282	Marubo	foot	ˈtaɨ	ˈtaɨ	t a ɨ	None	377		['t', 'a', '-', 'ɨ', '(', '-', ')']	141
6283	Chakobo	foot	taʔɨ	taʔɨ	t a ʔ ɨ	None	377		['t', 'a', 'ʔ', 'ɨ', '(', '-', ')']	141
6284	Kaxarari	foot	[taˈʔɨ]	[taˈʔɨ]	t a ʔ ɨ	None	377		['t', 'a', 'ʔ', 'ɨ', '(', '-', ')']	141
6285	Yaminawa	foot	taɨ	taɨ	t a ɨ	None	377		['t', 'a', '-', 'ɨ', '(', '-', ')']	141
6286	Yaminawa	foot	taɨ̃	taɨ̃	t a ɨ̃	None	377		['t', 'a', '-', 'ɨ̃', '(', '-', ')']	141
6287	Chaninawa	foot	taɨ	taɨ	t a ɨ	None	377		['t', 'a', '-', 'ɨ', '(', '-', ')']	141
6288	Sharanawa	foot	taɨ	taɨ	t a ɨ	None	377		['t', 'a', '-', 'ɨ', '(', '-', ')']	141
6289	Sharanawa	foot	taɨn	taɨn	t a ɨ n	None	377		['t', 'a', '-', 'ɨ', '(', 'n', ')']	141
6290	Shanenawa	foot	taɨ	taɨ	t a ɨ	None	377		['t', 'a', '-', 'ɨ', '(', '-', ')']	141
