ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGID	ALIGNMENT
7144	Kapanawa	animal	yoʔina	yoʔina	j o ʔ i n a	None	451	j o ʔ i n a ( - )
7145	Marubo	animal	yoĩ	yoĩ	j o i ~	None	451	j o - i ~ - ( - )
7146	Chakobo	animal	yoʔína	yoʔína	j o ʔ !í/i n a	None	451	j o ʔ !í/i n a ( - )
7147	Sharanawa	animal	yoina	yoina	j o i n a	None	451	j o - i n a ( - )
7148	Sharanawa	animal	yoinan	yoinan	j o i n a n	None	451	j o - i n a ( n )
7149	Shanenawa	animal	yuina	yuina	j u i n a	None	451	j u - i n a ( - )
7150	Poyanawa	animal	iũĩda	iũĩda	j ũ !ī/i d a	None	451	j ũ - !ī/i d a ( - )
7151	Amawaka	animal	yõʔina_I	yõʔina_I	j õ ʔ i n a	None	451	j õ ʔ i n a ( - )
7152	Kaxinawa	animal	yuina	yuina	j u i n a	None	451	j u - i n a ( - )
7153	Kaxinawa	animal	yuina...	yuina...	j u i n a	None	451	j u - i n a ( - )
7154	Marinawa	animal	yóíná	yóíná	j !ó/o !í/i n !á/a	None	451	j !ó/o - !í/i n !á/a ( - )
7155	Yawanawa	animal	iuina	iuina	j u i n a	None	451	j u - i n a ( - )
3058	Proto-Panoan	animal horn	mãtʃa[n]	mãtʃa[n]	m ã tʃ a rⁿ	None	122	m ã tʃ a rⁿ ( - - - )
3059	Kakataibo	animal horn	matuʂka	matuʂka	m a t u ʂ k a	None	673	m a t u - ( ʂ k a )
3060	ShipiboKonibo	animal horn	mãtʃã́	mãtʃã́	m ã tʃ !ã́/ã	None	122	m ã tʃ !ã́/ã - ( - - - )
3061	Kapanawa	animal horn	mantʃán	mantʃán	m a !n.tʃ/tʃ !á/a n	None	122	m a !n.tʃ/tʃ !á/a n ( - - - )
3062	Marubo	animal horn	mãˈʃũ	mãˈʃũ	m ã ʃ ũ	None	676	m ã ʃ ũ - ( - - - )
3063	Kaxarari	animal horn	maʂaˈɦu	maʂaˈɦu	m a ʂ a ɦ u	None	675	m a ʂ a - ( ɦ u - )
3064	Shanenawa	animal horn	maʂu	maʂu	m a ʂ u	None	678	m a ʂ u - ( - - - )
3065	Katukina	animal horn	mə̃nˈdzoỹ	mə̃nˈdzoỹ	m ə̃ n.dz õi	None	674	m ə̃ n.dz õi - ( - - - )
3066	Amawaka	animal horn	matʃã	matʃã	m a tʃ ã	None	122	m a tʃ ã - ( - - - )
3067	Yawanawa	animal horn	matʃan	matʃan	m a tʃ a n	None	122	m a tʃ a n ( - - - )
