Grapheme	IPA	Examples	Languages	Frequence	Codepoints
pia_[ˈpīă]	<???>	pia_[ˈpīă]	Marubo	1	U+0070 U+0069 U+0061 U+005f U+005b U+02c8 U+0070 U+012b U+0103 U+005d
pia_[ˈpia]	<???>	pia_[ˈpia]	Yaminawa	1	U+0070 U+0069 U+0061 U+005f U+005b U+02c8 U+0070 U+0069 U+0061 U+005d
piˈya_[piˈja]	<???>	piˈya_[piˈja]	Kaxarari	1	U+0070 U+0069 U+02c8 U+0079 U+0061 U+005f U+005b U+0070 U+0069 U+02c8 U+006a U+0061 U+005d
tʂ	ʈʂ	pitʂu	MattisList	1	U+0074 U+0282
pi᷈nu_[piˈʔ]	<???>	pi᷈nu_[piˈʔ]	Katukina	1	U+0070 U+0069 U+1dc8 U+006e U+0075 U+005f U+005b U+0070 U+0069 U+02c8 U+f06f U+0294 U+005d
nw	nw	piskaden_boiunwate	MattisList	1	U+006e U+0077
piste_[pisˈt]	<???>	piste_[pisˈt]	Kaxarari	1	U+0070 U+0069 U+0073 U+0074 U+0065 U+005f U+005b U+0070 U+0069 U+0073 U+02c8 U+0074 U+f045 U+005d
pistsɨk_[ˈpis.tsɨk]	<???>	pistsɨk_[ˈpis.tsɨk]	Mayoruna	1	U+0070 U+0069 U+0073 U+0074 U+0073 U+0268 U+006b U+005f U+005b U+02c8 U+0070 U+0069 U+0073 U+002e U+0074 U+0073 U+0268 U+006b U+005d
piti_[ˈpītĭ]	<???>	piti_[ˈpītĭ]	Marubo	1	U+0070 U+0069 U+0074 U+0069 U+005f U+005b U+02c8 U+0070 U+012b U+0074 U+012d U+005d
pui᷈_kili_[puj᷈kiˈli]	<???>	pui᷈_kili_[puj᷈kiˈli]	Kaxarari	1	U+0070 U+0075 U+0069 U+1dc8 U+005f U+006b U+0069 U+006c U+0069 U+005f U+005b U+0070 U+0075 U+006a U+1dc8 U+006b U+0069 U+02c8 U+006c U+0069 U+005d
puinki_[puj᷈ˈki]	<???>	puinki_[puj᷈ˈki]	Yawanawa	1	U+0070 U+0075 U+0069 U+006e U+006b U+0069 U+005f U+005b U+0070 U+0075 U+006a U+1dc8 U+02c8 U+006b U+0069 U+005d
puikon_[pwí.kon]	<???>	puikon_[pwí.kon]	Mayoruna	1	U+0070 U+0075 U+0069 U+006b U+006f U+006e U+005f U+005b U+0070 U+0077 U+00ed U+002e U+006b U+006f U+006e U+005d
pua_[puˈa]	<???>	pua_[puˈa]	Kaxarari	1	U+0070 U+0075 U+0061 U+005f U+005b U+0070 U+0075 U+02c8 U+0061 U+005d
pupu_[puˈpu]	<???>	pupu_[puˈpu]	Yawanawa	1	U+0070 U+0075 U+0070 U+0075 U+005f U+005b U+0070 U+0075 U+02c8 U+0070 U+0075 U+005d
pusan_[puˈsɜ᷈]	<???>	pusan_[puˈsɜ᷈]	Shanenawa	1	U+0070 U+0075 U+0073 U+0061 U+006e U+005f U+005b U+0070 U+0075 U+02c8 U+0073 U+025c U+1dc8 U+005d
tapuʂɨ_[taˈpuʂɨ]	<???>	tapuʂɨ_[taˈpuʂɨ]	Marubo	1	U+0074 U+0061 U+0070 U+0075 U+0282 U+0268 U+005f U+005b U+0074 U+0061 U+02c8 U+0070 U+0075 U+0282 U+0268 U+005d
upuʃku_[upuʃˈku]	<???>	upuʃku_[upuʃˈku]	Yawanawa	1	U+0075 U+0070 U+0075 U+0283 U+006b U+0075 U+005f U+005b U+0075 U+0070 U+0075 U+0283 U+02c8 U+006b U+0075 U+005d
putu_[puˈtu]	<???>	putu_[puˈtu]	Mayoruna	1	U+0070 U+0075 U+0074 U+0075 U+005f U+005b U+0070 U+0075 U+02c8 U+0074 U+0075 U+005d
puyã_[puˈɐ᷈]	<???>	puyã_[puˈɐ᷈]	Marubo	1	U+0070 U+0075 U+0079 U+00e3 U+005f U+005b U+0070 U+0075 U+02c8 U+0250 U+1dc8 U+005d
és$	és	después	Kaxinawa	1	U+00e9 U+0073 U+0024
daɨd_[daˈɨd]	<???>	daɨd_[daˈɨd]	Mayoruna	1	U+0064 U+0061 U+0268 U+0064 U+005f U+005b U+0064 U+0061 U+02c8 U+0268 U+0064 U+005d
	<?>	raɸi᷈ki᷈	Yaminawa	1	U+f02d
ü	ü	dabi-ɸ’tener_vergüenza	Kaxinawa	1	U+00fc
raβɨʂo_[ɾaβɨˈʂoʔ]	<???>	raβɨʂo_[ɾaβɨˈʂoʔ]	Katukina	1	U+0072 U+0061 U+03b2 U+0268 U+0282 U+006f U+005f U+005b U+027e U+0061 U+03b2 U+0268 U+02c8 U+0282 U+006f U+0294 U+005d
tʃakɨtaya_[tʃakɨtaˈja]	<???>	tʃakɨtaya_[tʃakɨtaˈja]	Kaxarari	1	U+0074 U+0283 U+0061 U+006b U+0268 U+0074 U+0061 U+0079 U+0061 U+005f U+005b U+0074 U+0283 U+0061 U+006b U+0268 U+0074 U+0061 U+02c8 U+006a U+0061 U+005d
[ˈɾani]	<???>	[ˈɾani]	Marubo	1	U+005b U+02c8 U+027e U+0061 U+006e U+0069 U+005d
tʃaniʔi_[tʃɐˈniˈʔi]	<???>	tʃaniʔi_[tʃɐˈniˈʔi]	Kaxarari	1	U+0074 U+0283 U+0061 U+006e U+0069 U+0294 U+0069 U+005f U+005b U+0074 U+0283 U+0250 U+02c8 U+006e U+0069 U+02c8 U+0294 U+0069 U+005d
t́́	t́́	rɨt́́_ɨ-	Marinawa	1	U+0074 U+0301 U+0301
ɾihu_[ɾiˈhuʔ]	<???>	ɾihu_[ɾiˈhuʔ]	Shanenawa	1	U+027e U+0069 U+0068 U+0075 U+005f U+005b U+027e U+0069 U+02c8 U+0068 U+0075 U+0294 U+005d
ɾɨβu_[ɾɨˈβ̄ʊ]	<???>	ɾɨβu_[ɾɨˈβ̄ʊ]	Katukina	1	U+027e U+0268 U+03b2 U+0075 U+005f U+005b U+027e U+0268 U+02c8 U+03b2 U+0304 U+028a U+005d
[ɾɨˈh̄ʊ]	<???>	[ɾɨˈh̄ʊ]	Yawanawa	1	U+005b U+027e U+0268 U+02c8 U+0068 U+0304 U+028a U+005d
ɾɨvukiri_[ɾɨˈβo_kiˈɾi]	<???>	ɾɨvukiri_[ɾɨˈβo_kiˈɾi]	Katukina	1	U+027e U+0268 U+0076 U+0075 U+006b U+0069 U+0072 U+0069 U+005f U+005b U+027e U+0268 U+02c8 U+03b2 U+006f U+005f U+006b U+0069 U+02c8 U+027e U+0069 U+005d
ɾɨki᷈_[ɾɨˈki᷈]	<???>	ɾɨki᷈_[ɾɨˈki᷈]	Marubo	1	U+027e U+0268 U+006b U+0069 U+1dc8 U+005f U+005b U+027e U+0268 U+02c8 U+006b U+0069 U+1dc8 U+005d
[tʃɨkɐˈni]	<???>	[tʃɨkɐˈni]	Kaxarari	1	U+005b U+0074 U+0283 U+0268 U+006b U+0250 U+02c8 U+006e U+0069 U+005d
ɾɨkin_[ɾɨˈki᷈]	<???>	ɾɨkin_[ɾɨˈki᷈]	Katukina	1	U+027e U+0268 U+006b U+0069 U+006e U+005f U+005b U+027e U+0268 U+02c8 U+006b U+0069 U+1dc8 U+005d
dɨ-pun_[dɨˈpun]	<???>	dɨ-pun_[dɨˈpun]	Mayoruna	1	U+0064 U+0268 U+002d U+0070 U+0075 U+006e U+005f U+005b U+0064 U+0268 U+02c8 U+0070 U+0075 U+006e U+005d
ɨ́́ɨ́́	ɨ́ɨ́	rɨ́́ɨ́́_I	Amawaka	1	U+0268 U+0301 U+0301 U+0268 U+0301 U+0301
sw	sw	riswii_I	Amawaka	1	U+0073 U+0077
tʃitʃiˈsi_[tʃitʃiˈsi]	<???>	tʃitʃiˈsi_[tʃitʃiˈsi]	Kaxarari	1	U+0074 U+0283 U+0069 U+0074 U+0283 U+0069 U+02c8 U+0073 U+0069 U+005f U+005b U+0074 U+0283 U+0069 U+0074 U+0283 U+0069 U+02c8 U+0073 U+0069 U+005d
^ˈtʃh	ˈtʃh	ˈtʃhɨʔɨ	Kaxarari	1	U+005e U+02c8 U+0074 U+0283 U+0068
ruku_[ruˈkuʔ]	<???>	ruku_[ruˈkuʔ]	Katukina	1	U+0072 U+0075 U+006b U+0075 U+005f U+005b U+0072 U+0075 U+02c8 U+006b U+0075 U+0294 U+005d
ɾuɨ_[ruˈɨ]	<???>	ɾuɨ_[ruˈɨ]	Yawanawa	1	U+027e U+0075 U+0268 U+005f U+005b U+0072 U+0075 U+02c8 U+0268 U+005d
ɾomɨ_[ɾū᷈mɯ]̆	<???>	ɾomɨ_[ɾū᷈mɯ]̆	Marubo	1	U+027e U+006f U+006d U+0268 U+005f U+005b U+027e U+016b U+1dc8 U+006d U+026f U+005d U+0306
dunu_[du.ˈnu]	<???>	dunu_[du.ˈnu]	Mayoruna	1	U+0064 U+0075 U+006e U+0075 U+005f U+005b U+0064 U+0075 U+002e U+02c8 U+006e U+0075 U+005d
ã́́$	ã́	sanã́́-	ShipiboKonibo	1	U+00e3 U+0301 U+0301 U+0024
^ˈs	s	ˈsaniman	ShipiboKonibo	1	U+005e U+02c8 U+0073
saued_[sa.ˈwed]	<???>	saued_[sa.ˈwed]	Mayoruna	1	U+0073 U+0061 U+0075 U+0065 U+0064 U+005f U+005b U+0073 U+0061 U+002e U+02c8 U+0077 U+0065 U+0064 U+005d
ʃiʃiwa_[ʃiʃiˈwa]	<???>	ʃiʃiwa_[ʃiʃiˈwa]	Kaxarari	1	U+0283 U+0069 U+0283 U+0069 U+0077 U+0061 U+005f U+005b U+0283 U+0069 U+0283 U+0069 U+02c8 U+0077 U+0061 U+005d
juego_96)	<???>	juego_96)	Kaxinawa	1	U+006a U+0075 U+0065 U+0067 U+006f U+005f U+0039 U+0036 U+0029
	<?>	ʃiɸI	Amawaka	1	U+f06f
ʃinãhi_[ʃinɐˈxi]	<???>	ʃinãhi_[ʃinɐˈxi]	Kaxarari	1	U+0283 U+0069 U+006e U+00e3 U+0068 U+0069 U+005f U+005b U+0283 U+0069 U+006e U+0250 U+02c8 U+0078 U+0069 U+005d
ʃilua_[ʃiluˈa]	<???>	ʃilua_[ʃiluˈa]	Kaxarari	1	U+0283 U+0069 U+006c U+0075 U+0061 U+005f U+005b U+0283 U+0069 U+006c U+0075 U+02c8 U+0061 U+005d
ʃinu_[ʃĩˈoʔ]	<???>	ʃinu_[ʃĩˈoʔ]	Katukina	1	U+0283 U+0069 U+006e U+0075 U+005f U+005b U+0283 U+0129 U+02c8 U+006f U+0294 U+005d
ʃipi_[ʃiˈpi]	<???>	ʃipi_[ʃiˈpi]	Kaxarari	1	U+0283 U+0069 U+0070 U+0069 U+005f U+005b U+0283 U+0069 U+02c8 U+0070 U+0069 U+005d
ʂaɨ_[ʂaˈɨ]	<???>	ʂaɨ_[ʂaˈɨ]	Yawanawa	1	U+0282 U+0061 U+0268 U+005f U+005b U+0282 U+0061 U+02c8 U+0268 U+005d
ʃatɨ-_[ˈʃātɯ̆]	<???>	ʃatɨ-_[ˈʃātɯ̆]	Marubo	1	U+0283 U+0061 U+0074 U+0268 U+002d U+005f U+005b U+02c8 U+0283 U+0101 U+0074 U+026f U+0306 U+005d
ɐ̄᷈	ɐ̄᷈	ˈʃɐ̄᷈nă-	Marubo	1	U+0250 U+0304 U+1dc8
ʂana_[ʂaˈnaʔ]	<???>	ʂana_[ʂaˈnaʔ]	Katukina	1	U+0282 U+0061 U+006e U+0061 U+005f U+005b U+0282 U+0061 U+02c8 U+006e U+0061 U+0294 U+005d
p$	p	ʂana-dap	MattisList	1	U+0070 U+0024
ʂahu_[ʂaˈhwu]	<???>	ʂahu_[ʂaˈhwu]	Kaxarari	1	U+0282 U+0061 U+0068 U+0075 U+005f U+005b U+0282 U+0061 U+02c8 U+0068 U+0077 U+0075 U+005d
^q	q	que_parecen_con_algodón	Mayoruna	1	U+005e U+0071
ʂaʂu_[ʂaˈʂu]	<???>	ʂaʂu_[ʂaˈʂu]	Kaxarari	1	U+0282 U+0061 U+0282 U+0075 U+005f U+005b U+0282 U+0061 U+02c8 U+0282 U+0075 U+005d
ʂaʂu_[ʂaˈʂoʔ]	<???>	ʂaʂu_[ʂaˈʂoʔ]	Katukina	1	U+0282 U+0061 U+0282 U+0075 U+005f U+005b U+0282 U+0061 U+02c8 U+0282 U+006f U+0294 U+005d
ʃawalɨ_[ʃawaˈlɨ]	<???>	ʃawalɨ_[ʃawaˈlɨ]	Kaxarari	1	U+0283 U+0061 U+0077 U+0061 U+006c U+0268 U+005f U+005b U+0283 U+0061 U+0077 U+0061 U+02c8 U+006c U+0268 U+005d
ãã	ãã	xãã_II	Amawaka	1	U+00e3 U+00e3
ʃawɨ_[ʃaˈwɨ]	<???>	ʃawɨ_[ʃaˈwɨ]	Kaxarari	1	U+0283 U+0061 U+0077 U+0268 U+005f U+005b U+0283 U+0061 U+02c8 U+0077 U+0268 U+005d
ʂawi_[ʂaˈwi]	<???>	ʂawi_[ʂaˈwi]	Mayoruna	1	U+0282 U+0061 U+0077 U+0069 U+005f U+005b U+0282 U+0061 U+02c8 U+0077 U+0069 U+005d
ʂɨma_[ʂɨˈma]	<???>	ʂɨma_[ʂɨˈma]	Mayoruna	1	U+0282 U+0268 U+006d U+0061 U+005f U+005b U+0282 U+0268 U+02c8 U+006d U+0061 U+005d
ʂɨbin_[ʂɨˈbin]	<???>	ʂɨbin_[ʂɨˈbin]	Mayoruna	1	U+0282 U+0268 U+0062 U+0069 U+006e U+005f U+005b U+0282 U+0268 U+02c8 U+0062 U+0069 U+006e U+005d
ʂɨkɨd_[ʂɨˈkɨd]	<???>	ʂɨkɨd_[ʂɨˈkɨd]	Mayoruna	1	U+0282 U+0268 U+006b U+0268 U+0064 U+005f U+005b U+0282 U+0268 U+02c8 U+006b U+0268 U+0064 U+005d
ʃɨni-_[ʃɯ̄᷈nĭ]	<???>	ʃɨni-_[ʃɯ̄᷈nĭ]	Marubo	1	U+0283 U+0268 U+006e U+0069 U+002d U+005f U+005b U+0283 U+026f U+0304 U+1dc8 U+006e U+012d U+005d
C	<?>	colmillo._C.L._muela._Pico_de_papagayo	Mayoruna	1	U+0043
	<?>	pɨ́́ʂɨ́́ʂɨaɸ	Marinawa	1	U+f077
ʂui_[ʂuˈi]	<???>	ʂui_[ʂuˈi]	Mayoruna	1	U+0282 U+0075 U+0069 U+005f U+005b U+0282 U+0075 U+02c8 U+0069 U+005d
ʂomoʂ_[ʂoˈmoʂ]	<???>	ʂomoʂ_[ʂoˈmoʂ]	Mayoruna	1	U+0282 U+006f U+006d U+006f U+0282 U+005f U+005b U+0282 U+006f U+02c8 U+006d U+006f U+0282 U+005d
bi-ʃuk_[bi.ˈʃuk]	<???>	bi-ʃuk_[bi.ˈʃuk]	Mayoruna	1	U+0062 U+0069 U+002d U+0283 U+0075 U+006b U+005f U+005b U+0062 U+0069 U+002e U+02c8 U+0283 U+0075 U+006b U+005d
ʂoma_[ʂuˈma]	<???>	ʂoma_[ʂuˈma]	Marubo	1	U+0282 U+006f U+006d U+0061 U+005f U+005b U+0282 U+0075 U+02c8 U+006d U+0061 U+005d
ʂu᷈pa_[ʂu᷈mˈba]	<???>	ʂu᷈pa_[ʂu᷈mˈba]	Katukina	1	U+0282 U+0075 U+1dc8 U+0070 U+0061 U+005f U+005b U+0282 U+0075 U+1dc8 U+006d U+02c8 U+0062 U+0061 U+005d
ʃuyã_[ʃujã]	<???>	ʃuyã_[ʃujã]	Kaxarari	1	U+0283 U+0075 U+0079 U+00e3 U+005f U+005b U+0283 U+0075 U+006a U+00e3 U+005d
[taˈʔɨ]	<???>	[taˈʔɨ]	Kaxarari	1	U+005b U+0074 U+0061 U+02c8 U+0294 U+0268 U+005d
takua_[taˈkwa]	<???>	takua_[taˈkwa]	Mayoruna	1	U+0074 U+0061 U+006b U+0075 U+0061 U+005f U+005b U+0074 U+0061 U+02c8 U+006b U+0077 U+0061 U+005d
tamo_[tɐm᷈_bo]	<???>	tamo_[tɐm᷈_bo]	Marubo	1	U+0074 U+0061 U+006d U+006f U+005f U+005b U+0074 U+0250 U+006d U+1dc8 U+005f U+0062 U+006f U+005d
tamu_[taˈmu]	<???>	tamu_[taˈmu]	Kaxarari	1	U+0074 U+0061 U+006d U+0075 U+005f U+005b U+0074 U+0061 U+02c8 U+006d U+0075 U+005d
o᷈$	o᷈	tamo᷈	Yaminawa	1	U+006f U+1dc8 U+0024
tambu_[tamˈbu]	<???>	tambu_[tamˈbu]	Mayoruna	1	U+0074 U+0061 U+006d U+0062 U+0075 U+005f U+005b U+0074 U+0061 U+006d U+02c8 U+0062 U+0075 U+005d
talahi_[taˈlahi]	<???>	talahi_[taˈlahi]	Kaxarari	1	U+0074 U+0061 U+006c U+0061 U+0068 U+0069 U+005f U+005b U+0074 U+0061 U+02c8 U+006c U+0061 U+0068 U+0069 U+005d
ɔ́́ɔ́́$	ɔ́ɔ́	tɔ́́ɔ́́	Kakataibo	1	U+0254 U+0301 U+0301 U+0254 U+0301 U+0301 U+0024
tau_[ˈtaw]	<???>	tau_[ˈtaw]	Yawanawa	1	U+0074 U+0061 U+0075 U+005f U+005b U+02c8 U+0074 U+0061 U+0077 U+005d
tʃipunu_[tʃipɯˈnɯ]	<???>	tʃipunu_[tʃipɯˈnɯ]	Kaxarari	1	U+0074 U+0283 U+0069 U+0070 U+0075 U+006e U+0075 U+005f U+005b U+0074 U+0283 U+0069 U+0070 U+026f U+02c8 U+006e U+026f U+005d
áá	áá	táá_I	Amawaka	1	U+00e1 U+00e1
́́$	<?>	tɨkɨ-́́	Kakataibo	1	U+0301 U+0301 U+0024
ḱ	<?>	ɨ́ḱ_ɨ...	MattisList	1	U+1e31
ˈmoka_tɨˈpi_[ˈmuka_təˈpi]	<???>	ˈmoka_tɨˈpi_[ˈmuka_təˈpi]	Marubo	1	U+02c8 U+006d U+006f U+006b U+0061 U+005f U+0074 U+0268 U+02c8 U+0070 U+0069 U+005f U+005b U+02c8 U+006d U+0075 U+006b U+0061 U+005f U+0074 U+0259 U+02c8 U+0070 U+0069 U+005d
tɨpõ_[tɨˈpu᷈]	<???>	tɨpõ_[tɨˈpu᷈]	Marubo	1	U+0074 U+0268 U+0070 U+00f5 U+005f U+005b U+0074 U+0268 U+02c8 U+0070 U+0075 U+1dc8 U+005d
tɨʂokko_[_́tɨˈʂokko]	<???>	tɨʂokko_[_́tɨˈʂokko]	Mayoruna	1	U+0074 U+0268 U+0282 U+006f U+006b U+006b U+006f U+005f U+005b U+005f U+0301 U+0074 U+0268 U+02c8 U+0282 U+006f U+006b U+006b U+006f U+005d
ṕ	<?>	tɨtɨ́ṕa	Chakobo	1	U+1e55
tɨ᷈to_[tə᷈ˈto]	<???>	tɨ᷈to_[tə᷈ˈto]	Marubo	1	U+0074 U+0268 U+1dc8 U+0074 U+006f U+005f U+005b U+0074 U+0259 U+1dc8 U+02c8 U+0074 U+006f U+005d
tɨburu_[tɨbuˈɾu]	<???>	tɨburu_[tɨbuˈɾu]	Kaxarari	1	U+0074 U+0268 U+0062 U+0075 U+0072 U+0075 U+005f U+005b U+0074 U+0268 U+0062 U+0075 U+02c8 U+027e U+0075 U+005d
ś	ś	tɨ́ś_tõ	Marinawa	1	U+015b
waka_[waˈkaʔ]	<???>	waka_[waˈkaʔ]	Kaxarari	1	U+0077 U+0061 U+006b U+0061 U+005f U+005b U+0077 U+0061 U+02c8 U+006b U+0061 U+0294 U+005d
wanima_[waniˈma]	<???>	wanima_[waniˈma]	Kaxarari	1	U+0077 U+0061 U+006e U+0069 U+006d U+0061 U+005f U+005b U+0077 U+0061 U+006e U+0069 U+02c8 U+006d U+0061 U+005d
beska_[besˈka]	<???>	beska_[besˈka]	Mayoruna	1	U+0062 U+0065 U+0073 U+006b U+0061 U+005f U+005b U+0062 U+0065 U+0073 U+02c8 U+006b U+0061 U+005d
uasin_[waˈsin]	<???>	uasin_[waˈsin]	Mayoruna	1	U+0075 U+0061 U+0073 U+0069 U+006e U+005f U+005b U+0077 U+0061 U+02c8 U+0073 U+0069 U+006e U+005d
uesin_[weˈsin]	<???>	uesin_[weˈsin]	Mayoruna	1	U+0075 U+0065 U+0073 U+0069 U+006e U+005f U+005b U+0077 U+0065 U+02c8 U+0073 U+0069 U+006e U+005d
wɨtsa_[wɨˈtsa]	<???>	wɨtsa_[wɨˈtsa]	Yawanawa	1	U+0077 U+0268 U+0074 U+0073 U+0061 U+005f U+005b U+0077 U+0268 U+02c8 U+0074 U+0073 U+0061 U+005d
wɨstisi_[wɨsˈtisiʔ]	<???>	wɨstisi_[wɨsˈtisiʔ]	Marubo	1	U+0077 U+0268 U+0073 U+0074 U+0069 U+0073 U+0069 U+005f U+005b U+0077 U+0268 U+0073 U+02c8 U+0074 U+0069 U+0073 U+0069 U+0294 U+005d
itaʂɨ_[iˈtaʂɨ]	<???>	itaʂɨ_[iˈtaʂɨ]	Marubo	1	U+0069 U+0074 U+0061 U+0282 U+0268 U+005f U+005b U+0069 U+02c8 U+0074 U+0061 U+0282 U+0268 U+005d
unka_[uŋˈka]	<???>	unka_[uŋˈka]	Mayoruna	1	U+0075 U+006e U+006b U+0061 U+005f U+005b U+0075 U+014b U+02c8 U+006b U+0061 U+005d
uin_[win]	<???>	uin_[win]	Mayoruna	1	U+0075 U+0069 U+006e U+005f U+005b U+0077 U+0069 U+006e U+005d
wino_[ˈwino]	<???>	wino_[ˈwino]	Marubo	1	U+0077 U+0069 U+006e U+006f U+005f U+005b U+02c8 U+0077 U+0069 U+006e U+006f U+005d
$	<?>	binu	Kaxinawa	1	U+f02d U+0024
uispa_[wisˈpa]	<???>	uispa_[wisˈpa]	Mayoruna	1	U+0075 U+0069 U+0073 U+0070 U+0061 U+005f U+005b U+0077 U+0069 U+0073 U+02c8 U+0070 U+0061 U+005d
yaˈlɨ_[jaˈlə]	<???>	yaˈlɨ_[jaˈlə]	Kaxarari	1	U+0079 U+0061 U+02c8 U+006c U+0268 U+005f U+005b U+006a U+0061 U+02c8 U+006c U+0259 U+005d
tʃanɨn_[tʃaˈnɨn]	<???>	tʃanɨn_[tʃaˈnɨn]	Mayoruna	1	U+0074 U+0283 U+0061 U+006e U+0268 U+006e U+005f U+005b U+0074 U+0283 U+0061 U+02c8 U+006e U+0268 U+006e U+005d
yamɨta_[yamɨˈta]	<???>	yamɨta_[yamɨˈta]	Kaxarari	1	U+0079 U+0061 U+006d U+0268 U+0074 U+0061 U+005f U+005b U+0079 U+0061 U+006d U+0268 U+02c8 U+0074 U+0061 U+005d
ɔ́́$	ɔ́	apɔɔ́́	Kakataibo	1	U+0254 U+0301 U+0301 U+0024
yapa[ˈyapaʔ]	<???>	yapa[ˈyapaʔ]	Marubo	1	U+0079 U+0061 U+0070 U+0061 U+005b U+02c8 U+0079 U+0061 U+0070 U+0061 U+0294 U+005d
yapa_[jaˈpa]	<???>	yapa_[jaˈpa]	Yawanawa	1	U+0079 U+0061 U+0070 U+0061 U+005f U+005b U+006a U+0061 U+02c8 U+0070 U+0061 U+005d
lɨtɨ_[ləˈtə]	<???>	lɨtɨ_[ləˈtə]	Kaxarari	1	U+006c U+0268 U+0074 U+0268 U+005f U+005b U+006c U+0259 U+02c8 U+0074 U+0259 U+005d
yantan_[jãˈtã]	<???>	yantan_[jãˈtã]	Yawanawa	1	U+0079 U+0061 U+006e U+0074 U+0061 U+006e U+005f U+005b U+006a U+00e3 U+02c8 U+0074 U+00e3 U+005d
iaua_[ja.wa]	<???>	iaua_[ja.wa]	Yawanawa	1	U+0069 U+0061 U+0075 U+0061 U+005f U+005b U+006a U+0061 U+002e U+0077 U+0061 U+005d
tsaues_[tsaˈwes]	<???>	tsaues_[tsaˈwes]	Mayoruna	1	U+0074 U+0073 U+0061 U+0075 U+0065 U+0073 U+005f U+005b U+0074 U+0073 U+0061 U+02c8 U+0077 U+0065 U+0073 U+005d
uu$	uu	yuu	Katukina	1	U+0075 U+0075 U+0024
tʃuua_[ˈtʃu.wa]	<???>	tʃuua_[ˈtʃu.wa]	Mayoruna	1	U+0074 U+0283 U+0075 U+0075 U+0061 U+005f U+005b U+02c8 U+0074 U+0283 U+0075 U+002e U+0077 U+0061 U+005d
sh$	sh	flesh	Kakataibo	1	U+0073 U+0068 U+0024
dada_[daˈra]	<???>	dada_[daˈra]	Mayoruna	1	U+0064 U+0061 U+0064 U+0061 U+005f U+005b U+0064 U+0061 U+02c8 U+0072 U+0061 U+005d
yosi-hi_[josiˈhi]	<???>	yosi-hi_[josiˈhi]	Kaxarari	1	U+0079 U+006f U+0073 U+0069 U+002d U+0068 U+0069 U+005f U+005b U+006a U+006f U+0073 U+0069 U+02c8 U+0068 U+0069 U+005d
óʃ	óʃ	yóʃi	Marinawa	1	U+00f3 U+0283
