Grapheme	IPA	Examples	Languages	Frequence	Codepoints
^ʃ	ʃ	ʃiʃi, ʃipi	Kaxinawa, Sharanawa, Yawanawa, Chakobo, Amawaka, ShipiboKonibo, Kapanawa, Marubo, Korubo, Chaninawa, Marinawa, Katukina, Kakataibo, Poyanawa, MattisList, Yaminawa, Mayoruna	100	U+005e U+0283
ã$	ã	namã, mã	Marinawa, Kaxinawa, Yaminawa, Marubo, Amawaka, Kakataibo, ShipiboKonibo, Poyanawa, Kaxarari	100	U+00e3 U+0024
ɸ	ɸ	raɸɨ, ino_ɸãɸi	Sharanawa, Yaminawa, Marinawa, Amawaka, Chaninawa, Shanenawa, Kakataibo, Marubo, Kaxinawa	100	U+0278
ã	ã	kãkã́_o_kãká, tʃãpo	Amawaka, Kaxinawa, Yaminawa, ShipiboKonibo, Marinawa, Kakataibo, Poyanawa, Marubo	100	U+00e3
á$	á	siná, kaná	Kakataibo, Marinawa, ShipiboKonibo, Kapanawa, Marubo, Kaxinawa, Chakobo, Amawaka	100	U+00e1 U+0024
i᷈$	i᷈	kai᷈, ʔiʃmi᷈	Yaminawa, Marinawa, ShipiboKonibo, Kakataibo, Kaxinawa, Marubo, Poyanawa, Amawaka, Chaninawa, Sharanawa, Yawanawa	100	U+0069 U+1dc8 U+0024
y	y	kɨyo-, noya-	Amawaka, Sharanawa, ShipiboKonibo, Kaxinawa, Marinawa, Kapanawa, Marubo, Chakobo, Yaminawa, Chaninawa, Katukina, Shanenawa, Mayoruna, Kakataibo, Poyanawa, Yawanawa, Korubo	100	U+0079
b	b	ʂubu, plataforma_para_cortar_árboles_arriba_de_sus_aletas	Kaxinawa, Mayoruna, MattisList, Poyanawa, Chaninawa, Sharanawa, ShipiboKonibo, Chakobo, Kakataibo, Amawaka, Shanenawa, Kapanawa, Kaxarari, Marubo, Yawanawa, Korubo	100	U+0062
ó	ó	yóí, hónpoxón	Marinawa, Amawaka, ShipiboKonibo, Kapanawa, Chakobo, Mayoruna, Sharanawa, Chaninawa	100	U+00f3
^o	o	oi, oa	Sharanawa, Yaminawa, Chaninawa, Amawaka, Marubo, Kakataibo, Marinawa, Mayoruna, MattisList, Shanenawa, Chakobo, Kaxinawa, Korubo	100	U+005e U+006f
ɾ	ɾ	βaɾi, kaɾi	Sharanawa, Shanenawa, Chakobo, Kakataibo, Marinawa, Yawanawa, Kapanawa, ShipiboKonibo, Chaninawa, Katukina, Amawaka, Mayoruna, Marubo, Yaminawa, Kaxinawa, Poyanawa	99	U+027e
í$	í	βoí, naí	Marinawa, ShipiboKonibo, Kakataibo, Chakobo, Amawaka, Kapanawa, Marubo, Kaxinawa	97	U+00ed U+0024
s$	s	hisis, -kas-	Kakataibo, Kaxinawa, Mayoruna, Amawaka, ShipiboKonibo, Chakobo, MattisList, Kapanawa, Yaminawa, Korubo, Chaninawa, Sharanawa, Katukina, Marubo, Marinawa, Poyanawa	94	U+0073 U+0024
^ts	ts	tsu-, tsistɨ	Sharanawa, ShipiboKonibo, Kaxinawa, Chakobo, Kapanawa, Marinawa, Kakataibo, Korubo, MattisList, Amawaka, Mayoruna, Shanenawa, Yaminawa, Yawanawa, Chaninawa, Katukina, Kaxarari, Marubo	83	U+005e U+0074 U+0073
^d	d	du, duɨ	Kaxinawa, MattisList, Mayoruna, Chaninawa, Poyanawa, Marinawa, Amawaka, ShipiboKonibo, Sharanawa, Shanenawa, Korubo	81	U+005e U+0064
^s	s	sawɨ, siná	Kaxinawa, Amawaka, Kakataibo, Marinawa, Mayoruna, Sharanawa, Chakobo, ShipiboKonibo, MattisList, Marubo, Katukina, Kapanawa, Shanenawa, Chaninawa, Yaminawa	79	U+005e U+0073
^u	u	uʂɨ, uˈʂɨ	Yawanawa, Mayoruna, Shanenawa, Kaxinawa, Katukina, Kakataibo, MattisList, Korubo, Poyanawa, Kaxarari, Sharanawa, Marinawa	75	U+005e U+0075
ʂ$	ʂ	tʃaɾáʂ, maʂaʂ	ShipiboKonibo, Kaxinawa, Kakataibo, Chakobo, MattisList, Kapanawa, Mayoruna, Yaminawa, Katukina, Sharanawa, Marubo	73	U+0282 U+0024
l	l	plataforma_para_cortar_árboles_arriba_de_sus_aletas, el_calor_solar	Mayoruna, Kaxinawa, Sharanawa, ShipiboKonibo, Chakobo, Kaxarari, Kakataibo, Amawaka, Kapanawa, Marinawa, Korubo, Marubo	73	U+006c
e$	e	pe, nunte	Mayoruna, Korubo, MattisList, Kakataibo, Kaxinawa, Sharanawa, Kapanawa, Marinawa, Amawaka, Chakobo, Poyanawa	70	U+0065 U+0024
^ɨ	ɨ	ɨpa, ɨnɨ	Sharanawa, Marubo, Marinawa, Yaminawa, Chaninawa, MattisList, Shanenawa, Kakataibo, Kaxinawa, Mayoruna, Poyanawa, Korubo, Katukina, Chakobo, Amawaka, Yawanawa	68	U+005e U+0268
ó$	ó	ʂokó-, mapó	Marinawa, ShipiboKonibo, Kakataibo, Kapanawa, Amawaka, Chakobo	64	U+00f3 U+0024
